components,n_components,lipid5,lipid5_std,macro10,macro10_std,binary_f1,binary_f1_std,CLR,MYR,OLA,PLM,STE,apo_f1,apo_auroc,alphafold_f1,alphafold_auroc,holdout_mean,holdout_min
shell6_shape+shell6_shape3+hydro4+geom,4,0.6797106735128442,0.030318348573829604,0.7752700541421386,0.01792967758972661,0.9052267758502931,0.01680964985104851,0.7737349604291291,0.7103752466419349,0.6135785168814957,0.648638214243449,0.6522264293682122,0.6666666666666666,0.7999999999999999,0.6618705035971223,0.8633952254641909,0.6642685851318945,0.6618705035971223
shell6_shape+hydro4+geom+chem,4,0.6797087182527081,0.028166058626545195,0.7754745127291234,0.01690972221721416,0.9046825822704794,0.016185377009864457,0.7689312695061122,0.7137850963068024,0.6111687077237199,0.6485402799412224,0.6561182377856835,0.6666666666666666,0.8035820895522389,0.6521739130434783,0.861121636983706,0.6594202898550725,0.6521739130434783
shape3+shell6_shape+shell6_shape3+hydro4+chem,5,0.6796624883963851,0.031318308157645754,0.7767308990516847,0.01906418948257315,0.9062053358972983,0.015580120906287404,0.7708903156599369,0.7131516123380837,0.6203213583056002,0.6458075279362318,0.6481416277420726,0.689655172413793,0.8029850746268656,0.6666666666666666,0.863205759757484,0.6781609195402298,0.6666666666666666
shape3+shell6_shape+hydro4+geom+chem,5,0.6796050067761417,0.026915317955392162,0.7759387790256107,0.01565797745174201,0.905370470342264,0.015300845006783588,0.7698780990238788,0.7121463688887347,0.6180694385750026,0.6487336766169812,0.6491974507761106,0.6428571428571428,0.8023880597014925,0.676056338028169,0.8620689655172414,0.6594567404426559,0.6428571428571428
shape3+shape6+hydro4+geom+chem,5,0.6795946435175599,0.029043055315364583,0.7762851578139609,0.01582881171301122,0.9056704346535264,0.015033341291962706,0.767056402251119,0.7125161383566144,0.6271729223002943,0.6523627614364568,0.638864993243315,0.6428571428571428,0.7988059701492537,0.6571428571428571,0.860932171276999,0.6499999999999999,0.6428571428571428
shape3+shape6+shell6_shape+geom,4,0.6795108242337443,0.029173624615609208,0.7762953464061937,0.01578800008293056,0.9049550805232925,0.016261105061449024,0.7648124306601664,0.7074794750703464,0.6298620289122282,0.6517628517062575,0.6436373348197227,0.6666666666666666,0.8,0.6808510638297873,0.8596059113300494,0.6737588652482269,0.6666666666666666
shell6_shape+shell6_shape3+geom,3,0.6794253432213546,0.029351807704786553,0.7746682715691813,0.016908164428233348,0.9038068480943754,0.01643380174098493,0.771954797824573,0.7082513771531255,0.6075855617630751,0.6491944115255334,0.6601405678404657,0.6548672566371682,0.7964179104477612,0.6571428571428571,0.8649109511178478,0.6560050568900126,0.6548672566371682
shape3+shape6+shell6_shape+geom+chem,5,0.6793830765273294,0.031216368799889364,0.7766781771902354,0.016341290041853012,0.9045737580805491,0.01576331755749995,0.7684342476569893,0.7094758702468553,0.6278294141100171,0.6488601199358254,0.6423157306869602,0.689655172413793,0.8023880597014926,0.6713286713286712,0.8597953770367563,0.6804919218712322,0.6713286713286712
shape3+shape6+geom,3,0.6792947098269224,0.03112800448574312,0.7759856070334353,0.017230966085962793,0.9041104785726674,0.014968576431827875,0.7658473276266773,0.7084475035726175,0.6317603880761745,0.6520771002881411,0.638341229571001,0.6548672566371682,0.795820895522388,0.6618705035971223,0.8599848427434635,0.6583688801171452,0.6548672566371682
shape3+shell6_shape3+hydro4+chem,4,0.6792654189992394,0.029103455930526014,0.7771796417329045,0.017996258124438957,0.9056070051133638,0.014684124123116942,0.7693205273849395,0.7118529732097073,0.6217627275714598,0.6459243547460453,0.647466512084045,0.6666666666666666,0.8014925373134328,0.6620689655172415,0.8652898825312618,0.664367816091954,0.6620689655172415
shell6_shape+shell6_shape3+chem,3,0.6792609191650194,0.02887146581124469,0.7743098012664968,0.01696031169834475,0.9048527541113347,0.015226529894976396,0.7652862794986471,0.7179934586648331,0.6147902488772264,0.6503850350676857,0.6478495737167048,0.7008547008547008,0.8017910447761194,0.6620689655172415,0.8599848427434634,0.6814618331859712,0.6620689655172415
shape3+shape6+shell6_shape+shell6_shape3+chem,5,0.6792138838610936,0.03219334552942173,0.7771387003917787,0.017190499651217057,0.9043663372090905,0.01610839338689514,0.7694336881169427,0.7061181425777926,0.6258944172021927,0.6485420496791275,0.6460811217294126,0.7008547008547008,0.8008955223880596,0.6712328767123287,0.8594164456233421,0.6860437887835147,0.6712328767123287
shape3+shape6+shell6_shape+hydro4+geom,5,0.679194104692232,0.029319688976057013,0.7758721323241992,0.017327532311528965,0.905713825500965,0.015433258606229369,0.7664742446082556,0.7095846909667167,0.6219588869195263,0.6487008620258389,0.649251838940822,0.6428571428571428,0.8017910447761194,0.6666666666666667,0.859037514209928,0.6547619047619048,0.6428571428571428
shape3+shape6+shell6_shape+shell6_shape3+geom,5,0.6791247491039978,0.029040472394542913,0.7761672340210606,0.015983359465424018,0.90445962933915,0.016318664181308725,0.7685879387555917,0.7057163666766922,0.6235209308586059,0.6490074376795744,0.6487910715495245,0.6666666666666666,0.7985074626865671,0.6666666666666667,0.8632057597574839,0.6666666666666667,0.6666666666666666
shape3+shape6+shell6_shape+shell6_shape3,4,0.6790719619215746,0.029495462818783635,0.7769678725202147,0.015418932603065852,0.9046032803800166,0.016493105647372566,0.7653625839071282,0.7028653071777323,0.6231858093514214,0.6494866241253794,0.6544594850462111,0.7008547008547008,0.8,0.6712328767123287,0.8597953770367563,0.6860437887835147,0.6712328767123287
